Entity ID,Symbol,Name,Inter- net Address,Stock Exchange,Sector,Economy Sector,Company is Active,Datenc (FIRST),Datenc (RT Last),Closing Price,Market Value,Sales
0097V0-E,B1WJ4X,Belle International Holdings Limited,http://www.belleintl.com,HONG KONG,Consumer Non-Durables,Consumer Cyclicals,0,20070523,20170718,,,6229.556
06DP2W-E,FDSEEF98,OBB-Infrastruktur AG,http://www.oebb.at,#NAME?,#NAME?,Industrials,1,NA,NA,,,6228.279
064R06-E,B11ZRK,Legrand SA,http://www.legrand.com,EURONEXT PARIS,Producer Manufacturing,Industrials,1,20060407,20180706,73.39031,19580.96,6227.101
05J3SG-E,629099,"WT Microelectronics Co., Ltd.",http://www.wtmec.com,TAIWAN,Distribution Services,Technology,1,20000926,20180706,1.425876,787.8605,6226.245
05HWMJ-E,636699,PT Gudang Garam Tbk,http://www.gudanggaramtbk.com,INDONESIA,Consumer Non-Durables,Consumer Non-Cyclicals,1,19910409,20180706,4.763396,9165.193,6225.319
078V41-E,B3QWG9,United Aircraft Corporation PJSC,http://www.uacrussia.ru,MICEX,Electronic Technology,Industrials,1,20100203,20180706,0.01020857,3690.408,6223.203
070PCB-E,FDS0CJG6,Metinvest BV,http://www.metinvestholding.com,#NAME?,#NAME?,Non-Energy Materials,1,NA,NA,,,6223
070PCB-E,FDS0CJG8,Metinvest BV,http://www.metinvestholding.com,#NAME?,#NAME?,Non-Energy Materials,1,NA,NA,,,6223
070PCB-E,FDS0CJGC,Metinvest BV,http://www.metinvestholding.com,#NAME?,#NAME?,Non-Energy Materials,1,NA,NA,,,6223
000F58-E,21061510,Consumers Power Company,http://www.consumersenergy.com,NYSE,Utilities,Utilities,1,19841105,19870526,,,6222
05HYWT-E,669593,Petronas Dagangan Bhd.,http://www.mymesra.com.my,MALAYSIA,Distribution Services,Consumer Cyclicals,1,19940511,20180706,6.138614,6098.43,6218.806
06YHWP-E,BJ621Y,Lenta Ltd. Sponsored GDR RegS,http://www.lentainvestor.com,LONDON,Retail Trade,Consumer Non-Cyclicals,1,20140228,20180706,5.36,2610.775,6214.424
0DYXF1-E,3222,"United Super Markets Holdings, Inc.",http://www.usmh.co.jp,TOKYO,Retail Trade,Consumer Non-Cyclicals,1,20150302,20180706,11.68908,1539.234,6213.745
000SRH-E,NVR,"NVR, Inc.",http://www.nvrinc.com,NYSE,Consumer Durables,Finance,1,19860617,20180706,3017.04,11097.97,6205.07
05HWSF-E,8036,Hitachi High-Technologies Corp.,http://www.hitachi-hightech.com/jp/,TOKYO,Electronic Technology,Non-Energy Materials,1,19850102,20180706,39.29558,5412.523,6204.592
07FBYR-E,635207,Brightoil Petroleum (Holdings) Limited,http://www.brightoil.com.hk,HONG KONG,Industrial Services,Energy,1,19960102,20170929,,1944.61,6195.148
05J0DD-E,2730,EDION Corp,http://www.edion.co.jp,TOKYO,Retail Trade,Consumer Cyclicals,1,20020328,20180706,9.769569,1094.247,6192.087
05L7GN-E,FDSF16DD,Regie Autonome des Transports Parisiens SA (France),http://www.ratp.fr,#NAME?,#NAME?,Industrials,1,NA,NA,,,6188.394
07H0W0-E,BG7ZSG,Huishang Bank Corporation Limited Class H,http://www.hsbank.com.cn,HONG KONG,Finance,Finance,1,20131112,20180706,0.4395549,5724.066,6183.3
00GHHT-E,CC,Chemours Co.,http://www.chemours.com,NYSE,Process Industries,Non-Energy Materials,1,20150619,20180706,44.52,7854.815,6183
001MY1-E,RL,Ralph Lauren Corporation Class A,http://www.ralphlauren.com,NYSE,Retail Trade,Consumer Cyclicals,1,19970612,20180706,126.42,10253.1,6182.3
001MY1-E,73157220,POLO RALPH LAUREN CORP  CL C,http://www.ralphlauren.com,#NAME?,#NAME?,Consumer Cyclicals,1,NA,NA,,,6182.3
