Entity ID,Symbol,Name,GICS Sector Name,GICS Ind Name,Country of Primary Listing,Sec Type ,Det Sec Type Desc,Net Sales 1999,Net Sales 2000,Net Sales 2001,Net Sales 2002,Net Sales 2003,Net Sales 2004,Net Sales 2005,Net Sales 2006,Net Sales 2007,Net Sales 2008,Net Sales 2009,Net Sales 2010,Net Sales 2011,Net Sales 2012,Net Sales 2013,Net Sales 2014,Net Sales 2015,Net Sales 2016,Net Sales 2017,Net Sales 2018
062HMZ-E,615242,"Fujian Furi Electronics Co., Ltd. Class A",Industrials,Trading Companies & Distributors,CHINA,SHARE,Equity; some share ownership restricted to domestic residents,110.4157566,71.54683018,96.50331075,166.2990292,112.4843575,189.7211625,247.9672229,218.2600556,202.5547422,205.870024,252.9817703,301.5151277,184.2107667,212.3481292,323.4326823,564.5367234,802.8904375,1065.820746,622.4278398,1656.288073
05HZQJ-E,4527,"Rohto Pharmaceutical Co., Ltd.",Consumer Staples,Personal Products,JAPAN,SHARE,Equity,500.310254,538.0896162,503.6997887,540.8028487,596.2651811,682.2178554,758.4983182,817.8806532,946.1172382,1099.744644,1356.452708,1379.622008,1515.758801,1372.027065,1800.831972,1480.324702,2374.368463,1427.67158,3151.249169,1656.274365
062J1L-E,643979,"Offshore Oil Engineering Co., Ltd. Class A",Energy,Energy Equipment & Services,CHINA,SHARE,Equity; some share ownership restricted to domestic residents,62.9650649,84.22873396,142.6410521,205.217549,242.1983979,415.6216196,511.7758943,614.9273704,841.568943,1359.361141,5412.286346,4780.864675,3398.779659,3664.512495,5667.374253,7504.33056,6093.86579,1791.754039,4175.57328,1655.762988
0604QX-E,639773,"Zhejiang Xinan Chemical Industrial Group Co., Ltd. Class A",Materials,Chemicals,CHINA,SHARE,Equity; some share ownership restricted to domestic residents,58.95099415,67.74320126,78.42370972,94.59765195,123.0466916,205.3847451,291.4343391,343.5993239,486.6871529,1038.712433,2103.413743,1568.689003,701.414045,817.5986351,1188.087948,1136.35341,1066.847854,1019.85501,994.4266383,1655.271527
060Y26-E,442170,GEK Terna Holding Real Estate Construction SA,Industrials,Construction & Engineering,GREECE,SHARE,Equity,0.306753841,5.576771561,19.35046601,29.82862281,14.06639138,539.9666018,358.0502865,439.9753798,579.0532011,991.131114,760.2685766,377.9082172,67.67358586,226.4554762,392.8955985,216.0349032,170.3097989,1287.038367,550.1646963,1654.834978
05JF98-E,604815,PT AKR Corporindo Tbk,Industrials,Trading Companies & Distributors,INDONESIA,SHARE,Equity,135.0385791,149.5856286,141.8576316,138.3472729,161.2740453,244.6563709,291.103887,433.2066858,644.8633296,981.1334248,390.8251414,728.2773963,1275.049121,1658.468582,1395.084879,1301.91258,2055.443759,1143.768827,1875.083202,1654.035705
000VS0-E,SCHL,Scholastic Corporation,Communication Services,Media,UNITED STATES,SHARE,Equity,1402.5,1962.3,1917,1958.3,2233.8,2079.9,2283.8,1921.9,2205.6,1849.3,1086.951548,911.196792,930.6943742,935.9641742,1084.585623,1190.795577,1323.849629,1741.6,1399.726759,1653.9
06HQZB-E,SAIA,"Saia, Inc.",Industrials,Road & Rail,UNITED STATES,SHARE,Equity,594.51,789.009,771.582,775.436,827.359,982.27,754.038,874.738,976.123,1030.421,200.9147494,263.7810142,198.9062293,370.9141859,782.8212069,1370.547533,559.2759929,1218.481,1803.417484,1653.849
0858N6-E,2715,Elematec Corporation,Information Technology,Electronic Equipment Instruments & Components,JAPAN,SHARE,Equity,403.356326,504.2701649,422.7086176,502.6961856,635.2740107,728.5946402,775.8144212,825.5275153,925.056634,859.5747548,227.8954895,300.4456989,351.8997291,280.3531556,329.6489263,510.3974928,514.1513222,1874.676042,487.0795862,1653.812569
0014N5-E,SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Textiles Apparel & Luxury Goods,UNITED STATES,SHARE,Equity,163.036,205.113,243.391,326.136,324.204,338.144,375.786,475.163,431.05,457.046,747.8049159,1157.396336,1478.876969,1940.573307,2479.923886,2044.345525,1891.077045,1399.551,2760.110347,1653.609
000L6V-E,GGG,Graco Inc.,Industrials,Machinery,UNITED STATES,SHARE,Equity,442.474,494.373,472.819,487.048,535.098,605.032,731.702,816.468,841.339,817.27,1713.400082,2362.187238,2440.519571,3124.052824,4783.522262,4768.22449,4029.650068,1329.293,7614.595978,1653.292
05J0D8-E,7905,Daiken Corporation,Materials,Paper & Forest Products,JAPAN,SHARE,Equity,1729.759094,1727.2275,1481.711576,1535.308485,1642.149601,1663.870655,1468.97979,1439.201026,1457.600304,1494.599214,283.9765099,346.9350863,391.2308112,352.6736426,351.1422825,291.4523835,373.5604358,1559.191827,657.0317917,1649.871893
05WLQV-E,2791,"Daikokutenbussan Co., Ltd.",Consumer Staples,Food & Staples Retailing,JAPAN,SHARE,Equity,NA,NA,89.1041423,122.9686369,190.6014537,273.2805584,355.9909172,445.561764,577.3606758,737.3725549,396.7284489,502.2473311,415.4637296,435.1424164,380.2654809,417.747802,547.556646,1430.575579,642.0195095,1649.239129
05J4YY-E,8159,"Tachibana Eletech Co., Ltd.",Information Technology,Electronic Equipment Instruments & Components,JAPAN,SHARE,Equity,984.0734158,1381.082077,1256.371473,1253.271697,1594.587077,1608.12548,1377.469486,1282.089659,1145.086137,1158.683504,153.1896927,180.5813927,198.4157254,173.0963004,282.3554331,310.224852,286.4410053,1479.561221,468.7546827,1649.087365
05HXBL-E,BC9ZH8,Chemical Works of Gedeon Richter Plc,Health Care,Pharmaceuticals,HUNGARY,SHARE,Equity,250.7273734,262.2914401,309.5125784,464.8536744,647.5489115,734.6133381,859.7959045,991.4330713,1220.704991,1373.115749,4245.092856,3822.104004,2628.765546,3055.266822,3802.844293,2524.856511,3522.474137,1384.064941,4891.464719,1647.707448
062MFB-E,610172,"Tus Environmental Science & Technology Development Co., Ltd. Class A",Industrials,Commercial Services & Supplies,CHINA,SHARE,Equity; some share ownership restricted to domestic residents,42.7725821,23.4269622,14.88269418,5.923975192,3.169243894,10.13449884,15.85148664,28.80957073,46.04165878,75.28829382,935.4552114,2093.220439,1655.000912,2375.345174,3715.652966,3719.038881,5163.251059,1029.681022,5181.392002,1647.514557
